,Precipitation,Source,Year
usppt189514,299.58,PRISM White Mountain 3800m,1895
usppt189614,384.61,PRISM White Mountain 3800m,1896
usppt189714,486.95,PRISM White Mountain 3800m,1897
usppt189814,339.61,PRISM White Mountain 3800m,1898
usppt189914,404.56,PRISM White Mountain 3800m,1899
usppt190014,259.03,PRISM White Mountain 3800m,1900
usppt190114,373.24,PRISM White Mountain 3800m,1901
usppt190214,320.98,PRISM White Mountain 3800m,1902
usppt190314,355.07,PRISM White Mountain 3800m,1903
usppt190414,381.93,PRISM White Mountain 3800m,1904
usppt190514,405.84,PRISM White Mountain 3800m,1905
usppt190614,719.2,PRISM White Mountain 3800m,1906
usppt190714,632.3,PRISM White Mountain 3800m,1907
usppt190814,407.15,PRISM White Mountain 3800m,1908
usppt190914,532.2,PRISM White Mountain 3800m,1909
usppt191014,281.98,PRISM White Mountain 3800m,1910
usppt191114,388.64,PRISM White Mountain 3800m,1911
usppt191214,422.02,PRISM White Mountain 3800m,1912
usppt191314,476.5,PRISM White Mountain 3800m,1913
usppt191414,437.26,PRISM White Mountain 3800m,1914
usppt191514,390.08,PRISM White Mountain 3800m,1915
usppt191614,454.42,PRISM White Mountain 3800m,1916
usppt191714,367.26,PRISM White Mountain 3800m,1917
usppt191814,466.07,PRISM White Mountain 3800m,1918
usppt191914,302.69,PRISM White Mountain 3800m,1919
usppt192014,490.16,PRISM White Mountain 3800m,1920
usppt192114,449.84,PRISM White Mountain 3800m,1921
usppt192214,492.26,PRISM White Mountain 3800m,1922
usppt192314,441.42,PRISM White Mountain 3800m,1923
usppt192414,284.43,PRISM White Mountain 3800m,1924
usppt192514,384.43,PRISM White Mountain 3800m,1925
usppt192614,412.21,PRISM White Mountain 3800m,1926
usppt192714,424.64,PRISM White Mountain 3800m,1927
usppt192814,272.68,PRISM White Mountain 3800m,1928
usppt192914,321.9,PRISM White Mountain 3800m,1929
usppt193014,413.97,PRISM White Mountain 3800m,1930
usppt193114,481.34,PRISM White Mountain 3800m,1931
usppt193214,342.75,PRISM White Mountain 3800m,1932
usppt193314,401.63,PRISM White Mountain 3800m,1933
usppt193414,272.23,PRISM White Mountain 3800m,1934
usppt193514,505.38,PRISM White Mountain 3800m,1935
usppt193614,569,PRISM White Mountain 3800m,1936
usppt193714,498.85,PRISM White Mountain 3800m,1937
usppt193814,596.06,PRISM White Mountain 3800m,1938
usppt193914,324.81,PRISM White Mountain 3800m,1939
usppt194014,436.26,PRISM White Mountain 3800m,1940
usppt194114,685.29,PRISM White Mountain 3800m,1941
usppt194214,302.02,PRISM White Mountain 3800m,1942
usppt194314,437.35,PRISM White Mountain 3800m,1943
usppt194414,320.67,PRISM White Mountain 3800m,1944
usppt194514,668.83,PRISM White Mountain 3800m,1945
usppt194614,462.67,PRISM White Mountain 3800m,1946
usppt194714,233.84,PRISM White Mountain 3800m,1947
usppt194814,318.32,PRISM White Mountain 3800m,1948
usppt194914,325.91,PRISM White Mountain 3800m,1949
usppt195014,353.68,PRISM White Mountain 3800m,1950
usppt195114,338.79,PRISM White Mountain 3800m,1951
usppt195214,366.73,PRISM White Mountain 3800m,1952
usppt195314,187.73,PRISM White Mountain 3800m,1953
usppt195414,373.77,PRISM White Mountain 3800m,1954
usppt195514,433.23,PRISM White Mountain 3800m,1955
usppt195614,406.02,PRISM White Mountain 3800m,1956
usppt195714,385.04,PRISM White Mountain 3800m,1957
usppt195814,320.16,PRISM White Mountain 3800m,1958
usppt195914,279.98,PRISM White Mountain 3800m,1959
usppt196014,260,PRISM White Mountain 3800m,1960
usppt196114,245.55,PRISM White Mountain 3800m,1961
usppt196214,473.79,PRISM White Mountain 3800m,1962
usppt196314,474.79,PRISM White Mountain 3800m,1963
usppt196414,419.6,PRISM White Mountain 3800m,1964
usppt196514,551.88,PRISM White Mountain 3800m,1965
usppt196614,385.84,PRISM White Mountain 3800m,1966
usppt196714,577.74,PRISM White Mountain 3800m,1967
usppt196814,290.53,PRISM White Mountain 3800m,1968
usppt196914,592.46,PRISM White Mountain 3800m,1969
usppt197014,280.72,PRISM White Mountain 3800m,1970
usppt197114,536.74,PRISM White Mountain 3800m,1971
