,11a_trident,11b_trident,12a_rothrock,12b_rothrock,12c_rothrock,13a_rothrock,13b_rothrock,14a_trident,14b_trident,14c_trident,15a_rothrock,15b_rothrock,16a_rothrock,16b_rothrock,16c_rothrock,17a_rothrock,17b_rothrock,17c_rothrock,18a_rothrock,18b_rothrock,19a_rothrock,19b_rothrock,19c_rothrock,20a_rothrock,20b_rothrock,20c_rothrock
1982,NA,NA,0.23,0.22,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,0.22,0.18,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,0.37,0.37,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,0.29,0.26,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,0.27,0.31,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,0.31,0.29,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,0.44,0.44,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,0.44,0.44,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,0.29,0.34,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,0.45,0.41,0.44,NA,NA,0.25,0.21,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,0.52,0.49,0.52,NA,NA,0.25,0.23,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,0.48,0.46,0.47,NA,NA,0.27,0.27,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,0.37,0.33,0.34,NA,NA,0.21,0.2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.17,NA,NA,NA,NA,NA,NA
1995,NA,NA,1.06,0.43,1.16,NA,NA,0.19,0.21,0.19,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.31,NA,NA,NA,NA,NA,NA
