,21a_rothrock,21b_rothrock,22a_rothrock,22b_rothrock,23a_rothrock,23b_rothrock,24a_rothrock,24b_rothrock,24c_rothrock,24d_rothrock,25a_rothrock,25b_rothrock,25c_rothrock,26a_rothrock,26b_rothrock,27a_rothrock,27b_rothrock,27c_rothrock,28a_rothrock,28b_rothrock,28c_rothrock,29a_rothrock,29b_rothrock,30a_rothrock,30b_rothrock,,21a_rothrock,21b_rothrock,22a_rothrock,22b_rothrock,23a_rothrock,23b_rothrock,24a_rothrock,24b_rothrock,24c_rothrock,24d_rothrock,25a_rothrock,25b_rothrock,25c_rothrock,26a_rothrock,26b_rothrock,27a_rothrock,27b_rothrock,27c_rothrock,28a_rothrock,28b_rothrock,28c_rothrock,29a_rothrock,29b_rothrock,30a_rothrock,30b_rothrock
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,0.22,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.54,0.34,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.31,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.27,0.28,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.08,0.09,0.44,0.43,0.43,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.15,0.14,0.36,0.31,0.39,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.29,0.29,0.29,0.27,0.27,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.29,0.28,0.23,0.25,0.23,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.31,0.31,0.23,0.22,0.22,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.44,0.42,0.3,0.25,0.29,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.22,0.21,0.21,0.26,0.29,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.26,0.26,0.37,0.31,0.3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.3,0.28,0.28,0.33,0.36,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
