"","Precipitation","Month","Year"
"ppt196201bi",45.68999863,1,1962
"ppt196202bi",120.9000015,2,1962
"ppt196203bi",52.63000107,3,1962
"ppt196204bi",0,4,1962
"ppt196205bi",104.4199982,5,1962
"ppt196206bi",17.14999962,6,1962
"ppt196207bi",40.25,7,1962
"ppt196208bi",0,8,1962
"ppt196209bi",21.62000084,9,1962
"ppt196210bi",3.829999924,10,1962
"ppt196211bi",12.28999996,11,1962
"ppt196212bi",0,12,1962
"ppt196301bi",33.58000183,1,1963
"ppt196302bi",69.93000031,2,1963
"ppt196303bi",96.43000031,3,1963
"ppt196304bi",86.09999847,4,1963
"ppt196305bi",31.34000015,5,1963
"ppt196306bi",49.88000107,6,1963
"ppt196307bi",0,7,1963
"ppt196308bi",24.30999947,8,1963
"ppt196309bi",46.15000153,9,1963
"ppt196310bi",35.29000092,10,1963
"ppt196311bi",15.77000046,11,1963
"ppt196312bi",4.659999847,12,1963
"ppt196401bi",70.45999908,1,1964
"ppt196402bi",5.059999943,2,1964
"ppt196403bi",52.20999908,3,1964
"ppt196404bi",69.23000336,4,1964
"ppt196405bi",37.61000061,5,1964
"ppt196406bi",0.029999999,6,1964
"ppt196407bi",0,7,1964
"ppt196408bi",16.82999992,8,1964
"ppt196409bi",0,9,1964
"ppt196410bi",23.95999908,10,1964
"ppt196411bi",27.57999992,11,1964
"ppt196412bi",148.4199982,12,1964
"ppt196501bi",45.43999863,1,1965
"ppt196502bi",25.55999947,2,1965
"ppt196503bi",30.72999954,3,1965
"ppt196504bi",112.8899994,4,1965
"ppt196505bi",34.54000092,5,1965
"ppt196506bi",21.61000061,6,1965
"ppt196507bi",25.75,7,1965
"ppt196508bi",38.91999817,8,1965
"ppt196509bi",0,9,1965
"ppt196510bi",0,10,1965
"ppt196511bi",137.2200012,11,1965
"ppt196512bi",83.08999634,12,1965
"ppt196601bi",13.76000023,1,1966
"ppt196602bi",22.35000038,2,1966
"ppt196603bi",0,3,1966
"ppt196604bi",7.28000021,4,1966
"ppt196605bi",7.980000019,5,1966
"ppt196606bi",0,6,1966
"ppt196607bi",0,7,1966
"ppt196608bi",33.15000153,8,1966
"ppt196609bi",11.22999954,9,1966
"ppt196610bi",0.709999979,10,1966
"ppt196611bi",34.90000153,11,1966
"ppt196612bi",198.3300018,12,1966
"ppt196701bi",161.6399994,1,1967
"ppt196702bi",28.97999954,2,1967
"ppt196703bi",107.5999985,3,1967
"ppt196704bi",63.06000137,4,1967
"ppt196705bi",9.979999542,5,1967
"ppt196706bi",10.3199997,6,1967
"ppt196707bi",73.5699997,7,1967
"ppt196708bi",43.34999847,8,1967
"ppt196709bi",83.44000244,9,1967
"ppt196710bi",0,10,1967
"ppt196711bi",34.59999847,11,1967
"ppt196712bi",44.91999817,12,1967
"ppt196801bi",10.5699997,1,1968
"ppt196802bi",22.60000038,2,1968
"ppt196803bi",29.52000046,3,1968
"ppt196804bi",20.64999962,4,1968
"ppt196805bi",3.829999924,5,1968
"ppt196806bi",21.44000053,6,1968
"ppt196807bi",27.72999954,7,1968
"ppt196808bi",33.22999954,8,1968
"ppt196809bi",0,9,1968
"ppt196810bi",24.46999931,10,1968
"ppt196811bi",0.029999999,11,1968
"ppt196812bi",39.16999817,12,1968
"ppt196901bi",192.6100006,1,1969
"ppt196902bi",98.75,2,1969
"ppt196903bi",78.52999878,3,1969
"ppt196904bi",32.70999908,4,1969
"ppt196905bi",8.729999542,5,1969
"ppt196906bi",81.58000183,6,1969
"ppt196907bi",29.3199997,7,1969
"ppt196908bi",3.630000114,8,1969
"ppt196909bi",0,9,1969
"ppt196910bi",21.61000061,10,1969
"ppt196911bi",10.96000004,11,1969
"ppt196912bi",31.47999954,12,1969
"ppt197001bi",45.54000092,1,1970
"ppt197002bi",30.18000031,2,1970
"ppt197003bi",20.42000008,3,1970
"ppt197004bi",16.20000076,4,1970
"ppt197005bi",0,5,1970
"ppt197006bi",10.15999985,6,1970
"ppt197007bi",31.09000015,7,1970
