"","Temperature","Month","Year"
"tmean198301",-5.119999886,1,1983
"tmean198302",-6.634999752,2,1983
"tmean198303",-7.090000153,3,1983
"tmean198304",-6.429999828,4,1983
"tmean198305",0.125,5,1983
"tmean198306",6.315000057,6,1983
"tmean198307",8.574999809,7,1983
"tmean198308",8.484999657,8,1983
"tmean198309",7.589999676,9,1983
"tmean198310",1.894999981,10,1983
"tmean198311",-4.159999847,11,1983
"tmean198312",-5.739999771,12,1983
"tmean198401",-3.680000305,1,1984
"tmean198402",-5.909999847,2,1984
"tmean198403",-3.769999981,3,1984
"tmean198404",-4.125,4,1984
"tmean198405",4.505000114,5,1984
"tmean198406",6.779999733,6,1984
"tmean198407",11.56500053,7,1984
"tmean198408",10.44999981,8,1984
"tmean198409",7.875,9,1984
"tmean198410",-1.480000019,10,1984
"tmean198411",-5.215000153,11,1984
"tmean198412",-8.059999466,12,1984
"tmean198501",-6.445000172,1,1985
"tmean198502",-6.505000114,2,1985
"tmean198503",-8.059999466,3,1985
"tmean198504",-0.410000086,4,1985
"tmean198505",1.504999876,5,1985
"tmean198506",9.430000305,6,1985
"tmean198507",11.89000034,7,1985
"tmean198508",10.03000069,8,1985
"tmean198509",3.264999867,9,1985
"tmean198510",1.269999981,10,1985
"tmean198511",-4.840000153,11,1985
"tmean198512",-4.215000153,12,1985
"tmean198601",-1.694999933,1,1986
"tmean198602",-6.150000095,2,1986
"tmean198603",-3.259999752,3,1986
"tmean198604",-2.974999905,4,1986
"tmean198605",2,5,1986
"tmean198606",8.954999924,6,1986
"tmean198607",9.350000382,7,1986
"tmean198608",11.30999947,8,1986
"tmean198609",2.194999933,9,1986
"tmean198610",0.484999895,10,1986
"tmean198611",-1.255000114,11,1986
"tmean198612",-4.620000362,12,1986
"tmean198701",-7.25,1,1987
"tmean198702",-7.494999886,2,1987
"tmean198703",-6.835000038,3,1987
"tmean198704",0.204999924,4,1987
"tmean198705",1.465000033,5,1987
"tmean198706",8.345000267,6,1987
"tmean198707",8.229999542,7,1987
"tmean198708",10.59999943,8,1987
"tmean198709",7.309999943,9,1987
"tmean198710",4.054999828,10,1987
"tmean198711",-3.390000343,11,1987
"tmean198712",-8.619999886,12,1987
"tmean198801",-6.230000496,1,1988
"tmean198802",-3.750000238,2,1988
"tmean198803",-4.159999847,3,1988
"tmean198804",-2.480000019,4,1988
"tmean198805",0.005000114,5,1988
"tmean198806",6.84499979,6,1988
"tmean198807",12.46000004,7,1988
"tmean198808",10.67000008,8,1988
"tmean198809",7.670000076,9,1988
"tmean198810",6.390000343,10,1988
"tmean198811",-2.545000076,11,1988
"tmean198812",-5.965000153,12,1988
"tmean198901",-7.379999638,1,1989
"tmean198902",-7.614999771,2,1989
"tmean198903",-3.875,3,1989
"tmean198904",1.170000076,4,1989
"tmean198905",0.784999967,5,1989
"tmean198906",7.394999981,6,1989
"tmean198907",11.91499996,7,1989
"tmean198908",9.090000153,8,1989
"tmean198909",5.954999924,9,1989
"tmean198910",1.045000076,10,1989
"tmean198911",1.3950001,11,1989
"tmean198912",-2.96999979,12,1989
"tmean199001",-5.695000172,1,1990
"tmean199002",-7.929999828,2,1990
"tmean199003",-3.964999914,3,1990
"tmean199004",-0.74000001,4,1990
"tmean199005",-0.059999943,5,1990
"tmean199006",7.909999847,6,1990
"tmean199007",11.77499962,7,1990
"tmean199008",9.68999958,8,1990
"tmean199009",6.989999771,9,1990
"tmean199010",3.845000029,10,1990
"tmean199011",-0.484999895,11,1990
"tmean199012",-8.085000038,12,1990
"tmean199101",-3.804999828,1,1991
"tmean199102",-2.529999971,2,1991
"tmean199103",-9.680000305,3,1991
"tmean199104",-4.105000019,4,1991
"tmean199105",-2.255000114,5,1991
"tmean199106",5.924999714,6,1991
"tmean199107",11.48500061,7,1991
"tmean199108",9.934999466,8,1991
"tmean199109",8.430000305,9,1991
"tmean199110",4.449999809,10,1991
"tmean199111",-0.8549999,11,1991
"tmean199112",-4.355000019,12,1991
"tmean199201",-2.684999943,1,1992
"tmean199202",-4.965000153,2,1992
"tmean199203",-5.244999886,3,1992
"tmean199204",0.654999971,4,1992
"tmean199205",5.215000153,5,1992
"tmean199206",7.074999809,6,1992
"tmean199207",9.239999771,7,1992
"tmean199208",10.34500027,8,1992
"tmean199209",7.460000038,9,1992
"tmean199210",3.924999952,10,1992
"tmean199211",-2.840000153,11,1992
"tmean199212",-8.625,12,1992
"tmean199301",-7.625,1,1993
"tmean199302",-8.61000061,2,1993
"tmean199303",-3.744999886,3,1993
"tmean199304",-2.449999809,4,1993
"tmean199305",1.634999871,5,1993
