,Temperature,Source,Year
ustmean1895,-2.39,White Mountain 3800m,1895
ustmean1896,-1.85,White Mountain 3800m,1896
ustmean1897,-2.42,White Mountain 3800m,1897
ustmean1898,-2.26,White Mountain 3800m,1898
ustmean1899,-2.06,White Mountain 3800m,1899
ustmean1900,-2.04,White Mountain 3800m,1900
ustmean1901,-2.24,White Mountain 3800m,1901
ustmean1902,-2.28,White Mountain 3800m,1902
ustmean1903,-2.53,White Mountain 3800m,1903
ustmean1904,-2.37,White Mountain 3800m,1904
ustmean1905,-3.16,White Mountain 3800m,1905
ustmean1906,-3.04,White Mountain 3800m,1906
ustmean1907,-3.55,White Mountain 3800m,1907
ustmean1908,-3.29,White Mountain 3800m,1908
ustmean1909,-3.2,White Mountain 3800m,1909
ustmean1910,-1.89,White Mountain 3800m,1910
ustmean1911,-3.39,White Mountain 3800m,1911
ustmean1912,-3.88,White Mountain 3800m,1912
ustmean1913,-3.5,White Mountain 3800m,1913
ustmean1914,-2.62,White Mountain 3800m,1914
ustmean1915,-2.92,White Mountain 3800m,1915
ustmean1916,-3.62,White Mountain 3800m,1916
ustmean1917,-2.96,White Mountain 3800m,1917
ustmean1918,-2.73,White Mountain 3800m,1918
ustmean1919,-2.62,White Mountain 3800m,1919
ustmean1920,-2.97,White Mountain 3800m,1920
ustmean1921,-1.92,White Mountain 3800m,1921
ustmean1922,-3.1,White Mountain 3800m,1922
ustmean1923,-3.16,White Mountain 3800m,1923
ustmean1924,-2.18,White Mountain 3800m,1924
ustmean1925,-2.38,White Mountain 3800m,1925
ustmean1926,-1.24,White Mountain 3800m,1926
ustmean1927,-2.31,White Mountain 3800m,1927
ustmean1928,-1.44,White Mountain 3800m,1928
ustmean1929,-1.65,White Mountain 3800m,1929
ustmean1930,-2.19,White Mountain 3800m,1930
ustmean1931,-1.61,White Mountain 3800m,1931
ustmean1932,-2.26,White Mountain 3800m,1932
ustmean1933,-1.68,White Mountain 3800m,1933
ustmean1934,-0.24,White Mountain 3800m,1934
