ActualName,ppt201101bi,ppt201102bi,ppt201103bi,ppt201104bi,ppt201105bi,ppt201106bi,ppt201107bi,ppt201108bi,ppt201109bi,ppt201110bi,ppt201111bi,ppt201112bi,tmean201101,tmean201102,tmean201103,tmean201104,tmean201105,tmean201106,tmean201107,tmean201108,tmean201109,tmean201110,tmean201111,tmean201112
Mt Whitney,55.31000137,161.5500031,228.0599976,5.630000114,31.13999939,14.39000034,22.54999924,0,1.75,13.85999966,37.43000031,0,-6.889999867,-10.51499939,-9.050000191,-5.329999924,-4.210000038,2.799999714,7,8.050000191,5.175000191,1.424999952,-6.240000248,-8.085000038
Death Valley,2.140000105,3.710000038,2.49000001,0,2.259999991,0,5.679999828,10.78999996,2.230000019,0.119999997,0.050000001,0.980000019,10.96999931,14.21000004,19.79500008,24.35000038,27.42499924,34.71500015,38.0699997,38.35499954,34.34500122,26.17499924,15.68499947,11.27499962
Pine Ridge Neigh 3,88.94000244,201.3200073,369.2200012,71.43000031,80.80999756,25.05999947,34.27000046,2.720000029,19.20000076,88.87000275,62.74000168,0,0.855000019,-2.345000029,-0.575000048,2.375,3.75,9.489999771,16.00500107,17.47500038,15.77000046,10.40999985,3.335000277,1.909999967
Inyo Craters Neigh 1,26.38999939,80.30000305,157.8200073,39.95000076,34.11999893,43.93000031,5.480000019,5.599999905,7.53000021,31,33.11000061,0,-0.900000095,-3.799999952,-0.359999895,2.829999685,4.53000021,10.37999916,14.1449995,15.18499947,12.44999981,7.720000267,0.96999979,-2.175000191
Inyo Crater Neigh 3,26.38999939,80.30000305,157.8200073,39.95000076,34.11999893,43.93000031,5.480000019,5.599999905,7.53000021,31,33.11000061,0,-0.900000095,-3.799999952,-0.359999895,2.829999685,4.53000021,10.37999916,14.1449995,15.18499947,12.44999981,7.720000267,0.96999979,-2.175000191
White Mountain 3800m,13.80000019,80.76999664,131.4600067,25.92000008,20.26000023,20.93000031,3.380000114,4.849999905,12.60999966,46.56000137,5.980000019,0,-5.430000305,-9.199999809,-7.585000038,-5.039999962,-3.730000019,5.329999924,9.894999504,10.67000008,6.664999962,1.625,-4.590000153,-6.380000114
White Mountain Chris Cobb Hi,13.80000019,80.76999664,131.4600067,25.92000008,20.26000023,20.93000031,3.380000114,4.849999905,12.60999966,46.56000137,5.980000019,0,-5.430000305,-9.199999809,-7.585000038,-5.039999962,-3.730000019,5.329999924,9.894999504,10.67000008,6.664999962,1.625,-4.590000153,-6.380000114
Black Mountain Hi Neigh 1,58.54000092,148.6000061,75.98999786,28.52000046,21.63999939,1.039999962,11.22999954,20.04999924,26.60000038,50.02000046,109.4000015,19.72999954,4.609999657,1.580000043,5.475000382,8.154999733,9.595000267,14.67999935,19.70999908,20.72499847,18.88500023,13.47500038,5.605000019,2.599999905
SherwinLakes Neighborhood 1,33.79000092,94,194.2899933,40.59000015,45.79999924,28.63999939,3.509999991,11.11999989,17.12999916,34.97000122,35.86999893,0,-1.705000162,-4.184999943,-0.74000001,2.890000105,4.755000114,10.56500053,14.12000084,15.4800005,12.78999996,7.790000439,0.555000067,-2.24000001
Sherwin Lakes Neighborhood 2,33.79000092,94,194.2899933,40.59000015,45.79999924,28.63999939,3.509999991,11.11999989,17.12999916,34.97000122,35.86999893,0,-1.705000162,-4.184999943,-0.74000001,2.890000105,4.755000114,10.56500053,14.12000084,15.4800005,12.78999996,7.790000439,0.555000067,-2.24000001
Sherwin Lakes Neighborhood 3,33.79000092,94,194.2899933,40.59000015,45.79999924,28.63999939,3.509999991,11.11999989,17.12999916,34.97000122,35.86999893,0,-1.705000162,-4.184999943,-0.74000001,2.890000105,4.755000114,10.56500053,14.12000084,15.4800005,12.78999996,7.790000439,0.555000067,-2.24000001
Crescent Meadow Neigh 1,78.41999817,155.7599945,282.8299866,49.63000107,70.41000366,23.70000076,11.55000019,2.759999991,9.869999886,74.52999878,51.22000122,0,5.349999905,2.849999905,4.889999867,7.720000267,9.305000305,15.1949997,20.27000046,21.32999992,20.31500053,14.125,7,4.909999847
