"","Temperature","Month","Year"
"tmean197501",-7.179999828,1,1975
"tmean197502",-9.969999313,2,1975
"tmean197503",-10.49499989,3,1975
"tmean197504",-10.85499954,4,1975
"tmean197505",-2.34499979,5,1975
"tmean197506",5.424999714,6,1975
"tmean197507",9.079999924,7,1975
"tmean197508",7.43500042,8,1975
"tmean197509",5.635000229,9,1975
"tmean197510",-1.75,10,1975
"tmean197511",-4.240000248,11,1975
"tmean197512",-5.93500042,12,1975
"tmean197601",-7.014999867,1,1976
"tmean197602",-7.944999695,2,1976
"tmean197603",-8.914999962,3,1976
"tmean197604",-6.934999943,4,1976
"tmean197605",0.859999895,5,1976
"tmean197606",5.744999886,6,1976
"tmean197607",8.545000076,7,1976
"tmean197608",4.414999962,8,1976
"tmean197609",3.685000181,9,1976
"tmean197610",-0.055000067,10,1976
"tmean197611",-1.640000105,11,1976
"tmean197612",-5.154999733,12,1976
"tmean197701",-8.684999466,1,1977
"tmean197702",-6.629999638,2,1977
"tmean197703",-11.28999996,3,1977
"tmean197704",-3.434999943,4,1977
"tmean197705",-5.539999962,5,1977
"tmean197706",7.029999733,6,1977
"tmean197707",8.625,7,1977
"tmean197708",8.824999809,8,1977
"tmean197709",4.139999867,9,1977
"tmean197710",1.524999976,10,1977
"tmean197711",-2.429999828,11,1977
"tmean197712",-5.635000229,12,1977
"tmean197801",-8.425000191,1,1978
"tmean197802",-9.270000458,2,1978
"tmean197803",-6.489999771,3,1978
"tmean197804",-7.230000019,4,1978
"tmean197805",-1.849999905,5,1978
"tmean197806",5.220000267,6,1978
"tmean197807",8.404999733,7,1978
"tmean197808",9.280000687,8,1978
"tmean197809",3.139999867,9,1978
"tmean197810",3.25,10,1978
"tmean197811",-6.684999943,11,1978
"tmean197812",-9.864999771,12,1978
"tmean197901",-10.88000011,1,1979
"tmean197902",-10.375,2,1979
"tmean197903",-7.855000019,3,1979
"tmean197904",-5.984999657,4,1979
"tmean197905",-0.134999991,5,1979
"tmean197906",5.710000038,6,1979
"tmean197907",8.479999542,7,1979
"tmean197908",6.585000038,8,1979
"tmean197909",6.245000362,9,1979
"tmean197910",1.220000029,10,1979
"tmean197911",-5.28000021,11,1979
"tmean197912",-4.930000305,12,1979
"tmean198001",-7.160000324,1,1980
"tmean198002",-7.240000248,2,1980
"tmean198003",-9.56499958,3,1980
"tmean198004",-5.309999943,4,1980
"tmean198005",-4.179999828,5,1980
"tmean198006",3.715000153,6,1980
"tmean198007",8.630000114,7,1980
"tmean198008",7.644999981,8,1980
"tmean198009",5.045000076,9,1980
"tmean198010",0.664999962,10,1980
"tmean198011",-3.149999857,11,1980
"tmean198012",-4.494999886,12,1980
"tmean198101",-6.235000134,1,1981
"tmean198102",-7.414999962,2,1981
"tmean198103",-8.81000042,3,1981
"tmean198104",-4.050000191,4,1981
"tmean198105",-1.259999991,5,1981
"tmean198106",8.510000229,6,1981
"tmean198107",10.20000076,7,1981
"tmean198108",10.39500046,8,1981
"tmean198109",5.514999867,9,1981
"tmean198110",-2.619999886,10,1981
"tmean198111",-3.705000162,11,1981
"tmean198112",-5.590000153,12,1981
"tmean198201",-10.03000069,1,1982
"tmean198202",-7.755000114,2,1982
"tmean198203",-9.710000038,3,1982
"tmean198204",-6.614999771,4,1982
"tmean198205",-1.090000033,5,1982
"tmean198206",4.210000038,6,1982
"tmean198207",8.244999886,7,1982
"tmean198208",8.845000267,8,1982
"tmean198209",2.575000048,9,1982
"tmean198210",-1.870000124,10,1982
"tmean198211",-6.460000038,11,1982
"tmean198212",-8.440000534,12,1982
"tmean198301",-7.454999924,1,1983
"tmean198302",-8.565000534,2,1983
"tmean198303",-8.979999542,3,1983
"tmean198304",-8.494999886,4,1983
"tmean198305",-2.140000105,5,1983
"tmean198306",5.125,6,1983
"tmean198307",7.43500042,7,1983
"tmean198308",7.525000095,8,1983
"tmean198309",5.385000229,9,1983
"tmean198310",-0.020000219,10,1983
"tmean198311",-6.014999867,11,1983
"tmean198312",-7.465000153,12,1983
"tmean198401",-6.309999943,1,1984
"tmean198402",-8.210000038,2,1984
"tmean198403",-6.045000076,3,1984
"tmean198404",-6.440000057,4,1984
"tmean198405",1.820000053,5,1984
"tmean198406",5.414999962,6,1984
