"","Precipitation","Month","Year"
"ppt198301bi",104.6200028,1,1983
"ppt198302bi",106.7600021,2,1983
"ppt198303bi",150,3,1983
"ppt198304bi",36.79000092,4,1983
"ppt198305bi",7.570000172,5,1983
"ppt198306bi",21,6,1983
"ppt198307bi",1.100000024,7,1983
"ppt198308bi",114.9400024,8,1983
"ppt198309bi",28,9,1983
"ppt198310bi",17.47999954,10,1983
"ppt198311bi",68.05999756,11,1983
"ppt198312bi",135.3200073,12,1983
"ppt198401bi",7.159999847,1,1984
"ppt198402bi",58.18999863,2,1984
"ppt198403bi",27.04000092,3,1984
"ppt198404bi",43.52999878,4,1984
"ppt198405bi",0,5,1984
"ppt198406bi",27.12000084,6,1984
"ppt198407bi",90.01999664,7,1984
"ppt198408bi",88.84999847,8,1984
"ppt198409bi",11.43000031,9,1984
"ppt198410bi",31.36000061,10,1984
"ppt198411bi",76.3199997,11,1984
"ppt198412bi",49.11000061,12,1984
"ppt198501bi",21.5699997,1,1985
"ppt198502bi",24.39999962,2,1985
"ppt198503bi",74.55000305,3,1985
"ppt198504bi",9.050000191,4,1985
"ppt198505bi",4.420000076,5,1985
"ppt198506bi",14.35999966,6,1985
"ppt198507bi",53.16999817,7,1985
"ppt198508bi",0,8,1985
"ppt198509bi",45.68000031,9,1985
"ppt198510bi",51.40999985,10,1985
"ppt198511bi",43.11000061,11,1985
"ppt198512bi",71.58999634,12,1985
"ppt198601bi",48.68999863,1,1986
"ppt198602bi",245.2799988,2,1986
"ppt198603bi",117.4199982,3,1986
"ppt198604bi",29.45000076,4,1986
"ppt198605bi",5.760000229,5,1986
"ppt198606bi",7.869999886,6,1986
"ppt198607bi",14.18999958,7,1986
"ppt198608bi",43.63999939,8,1986
"ppt198609bi",10.38000011,9,1986
"ppt198610bi",10.89000034,10,1986
"ppt198611bi",3.029999971,11,1986
"ppt198612bi",18.37999916,12,1986
"ppt198701bi",41.3199997,1,1987
"ppt198702bi",50.50999832,2,1987
"ppt198703bi",52.8199997,3,1987
"ppt198704bi",21.72999954,4,1987
"ppt198705bi",84.44000244,5,1987
"ppt198706bi",23.18000031,6,1987
"ppt198707bi",5.46999979,7,1987
"ppt198708bi",2.359999895,8,1987
"ppt198709bi",1.669999957,9,1987
"ppt198710bi",26.13999939,10,1987
"ppt198711bi",40.63999939,11,1987
"ppt198712bi",47.56000137,12,1987
"ppt198801bi",82.05000305,1,1988
"ppt198802bi",6.269999981,2,1988
"ppt198803bi",13.57999992,3,1988
"ppt198804bi",47.04000092,4,1988
"ppt198805bi",23.38999939,5,1988
"ppt198806bi",33.79999924,6,1988
"ppt198807bi",20.54999924,7,1988
"ppt198808bi",29.62999916,8,1988
"ppt198809bi",20.64999962,9,1988
"ppt198810bi",0,10,1988
"ppt198811bi",22.44000053,11,1988
"ppt198812bi",83.76999664,12,1988
