ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxx_Waypo,wptx1_Wayp,ctx_Creati,ActualName,ppt1962bil,ppt1963bil,ppt1964bil,ppt1965bil,ppt1966bil,ppt1967bil,ppt1968bil,ppt1969bil,ppt1970bil,ppt1971bil,ppt1972bil,ppt1973bil,ppt1974bil,ppt1975bil,ppt1976bil,ppt1977bil,ppt1978bil,ppt1979bil,ppt1980bil,ppt1981bil,ppt1982bil,ppt1983bil,ppt1984bil,ppt1985bil,ppt1986bil,ppt1987bil,ppt1988bil,ppt1989bil,ppt1990bil,ppt1991bil,ppt1992bil,ppt1993bil,ppt1994bil,ppt1995bil,ppt1996bil,ppt1997bil,ppt1998bil,ppt1999bil,ppt2000bil,ppt2001bil,ppt2002bil,ppt2003bil,ppt2004bil,ppt2005bil,ppt2006bil,ppt2007bil,ppt2008bil,ppt2009bil,ppt2010bil
,,,,,,,,,,,,,,,,,,,,,,,,,,Mt Whitney,961.1700439500,1378.4739990000,1085.5030518000,1196.0090332000,908.1829834000,1299.3110352000,645.0360107400,1545.9150391000,1030.9279785000,1018.0529785000,645.5419921900,1238.4310303000,790.0800170900,936.2659912100,541.1970214800,1031.2430420000,1345.2509766000,1067.7889404000,1378.6199951000,1156.6099854000,1911.7299805000,1769.0599365000,1087.9599609000,951.5399780300,1154.2800293000,786.6199951200,948.8999633800,534.3400268600,816.8200073200,910.4500122100,876.2999877900,1072.2900391000,878.3099975600,1477.5699463000,1919.0500488000,1107.9899902000,1169.5400391000,834.5599975600,900.4199829100,1449.9899902000,860.2999877900,725.3499755900,857.8699951200,1238.7700195000,1163.3200684000,626.9699707000,690.2000122100,796.1300048800,1285.8100586000
,,,,,,,,,,,,,,,,,,,,,,,,,,Death Valley,26.6090011600,57.0970001220,24.3640003200,106.7600021400,31.3269996640,51.5850028990,42.6850013730,85.2279968260,48.5669975280,30.1779994960,61.2480010990,59.6959991460,84.4300003050,42.7820014950,117.4499969500,71.5149993900,106.7839965800,50.7340011600,72.7050018310,46.0000000000,69.9199981690,108.9499969500,92.5799942020,20.7900009160,37.5900001530,98.4499969480,96.1399993900,1.4800000191,44.8199996950,43.8999977110,91.1399993900,64.9899978640,38.6000022890,74.9700012210,29.6100006100,67.0500030520,109.5500030500,32.9899978640,27.9600009920,69.8400039670,10.7800006870,78.0500030520,105.6699981700,102.8899993900,31.4599990840,41.1199989320,31.8500003810,33.5900001530,119.0599975600
2263.6057130000,2015/09/24,,,017,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-09-24T22:38:30Z</ctx:CreationTime>,Pine Ridge Neigh 3,1049.9530029000,1596.0080566000,1267.5579834000,1219.0579834000,1201.5400391000,1511.7270508000,852.3820190400,2148.9509277000,1250.2310791000,859.1439819300,704.0449829100,1355.3149414000,1090.4139404000,1151.2869873000,589.1099853500,848.6270141600,1774.3499756000,1031.8680420000,1615.8730469000,1082.5799561000,2299.3300781000,2187.7700195000,884.3800048800,1020.1900024000,1389.5799561000,988.9500122100,908.2600097700,623.7399902300,642.2700195300,1106.3599854000,915.8599853500,1201.8699951000,928.0300293000,1675.9500732000,2076.4899902000,1099.1300049000,1708.3800049000,703.7199707000,1223.8699951000,1289.1300049000,1005.3900146000,1131.1300049000,811.3699951200,1238.3199463000,1330.0200195000,641.7399902300,944.1000366200,1091.5400391000,1719.6899414000
2599.0021970000,2015/10/03,,,ABCO 1.1,INYO CR,INYO CR,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-03T20:11:07Z</ctx:CreationTime>,Inyo Craters Neigh 1,401.0190124500,570.7739868200,493.4440002400,666.3450317400,363.8429870600,528.2440185500,325.1029968300,621.0919799800,472.5379943800,454.1799926800,294.4299926800,509.7860107400,352.0899963400,418.0370178200,253.8529968300,449.2130127000,562.0260009800,451.2229919400,557.0819702100,528.7199707000,1006.4599609000,915.2000122100,417.5899963400,496.3700256300,498.3800048800,361.6499939000,370.0100097700,386.2200012200,299.3900146500,413.7399902300,435.2799987800,423.2500000000,439.0400085400,768.0700073200,1014.9500122000,449.9800109900,619.1300048800,372.4199829100,404.2799987800,626.6799926800,417.6799926800,294.4800109900,568.9199829100,690.4500122100,537.5800170900,334.5299987800,502.0700073200,536.8400268600,744.9199829100
2533.4184570000,2015/10/09,,,ABMA 3.3,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-09T23:34:30Z</ctx:CreationTime>,Inyo Crater Neigh 3,401.0190124500,570.7739868200,493.4440002400,666.3450317400,363.8429870600,528.2440185500,325.1029968300,621.0919799800,472.5379943800,454.1799926800,294.4299926800,509.7860107400,352.0899963400,418.0370178200,253.8529968300,449.2130127000,562.0260009800,451.2229919400,557.0819702100,528.7199707000,1006.4599609000,915.2000122100,417.5899963400,496.3700256300,498.3800048800,361.6499939000,370.0100097700,386.2200012200,299.3900146500,413.7399902300,435.2799987800,423.2500000000,439.0400085400,768.0700073200,1014.9500122000,449.9800109900,619.1300048800,372.4199829100,404.2799987800,626.6799926800,417.6799926800,294.4800109900,568.9199829100,690.4500122100,537.5800170900,334.5299987800,502.0700073200,536.8400268600,744.9199829100
3764.5268550000,2015/07/22,,,BLOCK24,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-07-22T17:50:58Z</ctx:CreationTime>,White Mountain 3800m,468.1610107400,518.4979858400,526.5310058600,552.9600219700,371.2030029300,779.6489868200,300.0700073200,617.8389892600,327.1399841300,646.1589965800,368.7269897500,527.9450073200,385.9570007300,307.0619812000,312.6759948700,544.0709838900,686.0820312500,449.8930053700,580.8170166000,549.5900268600,1045.8599854000,876.0599975600,569.2399902300,454.0400085400,642.7100219700,430.3099975600,436.3099975600,326.5000000000,370.3200073200,569.3900146500,493.7399902300,473.0000000000,473.8300170900,841.0899658200,957.0999755900,527.2299804700,657.3500366200,452.0400085400,396.3800048800,646.7399902300,368.6400146500,408.8300170900,563.9299926800,741.1699829100,627.8200073200,400.0899963400,502.6700134300,487.3800048800,789.9699707000
3742.3571780000,2015/07/15,,,CHRIS REM 3750,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-07-15T16:49:33Z</ctx:CreationTime>,White Mountain Chris Cobb Hi,468.1610107400,518.4979858400,526.5310058600,552.9600219700,371.2030029300,779.6489868200,300.0700073200,617.8389892600,327.1399841300,646.1589965800,368.7269897500,527.9450073200,385.9570007300,307.0619812000,312.6759948700,544.0709838900,686.0820312500,449.8930053700,580.8170166000,549.5900268600,1045.8599854000,876.0599975600,569.2399902300,454.0400085400,642.7100219700,430.3099975600,436.3099975600,326.5000000000,370.3200073200,569.3900146500,493.7399902300,473.0000000000,473.8300170900,841.0899658200,957.0999755900,527.2299804700,657.3500366200,452.0400085400,396.3800048800,646.7399902300,368.6400146500,408.8300170900,563.9299926800,741.1699829100,627.8200073200,400.0899963400,502.6700134300,487.3800048800,789.9699707000
2205.8864750000,2015/11/06,,,PIJE 1.1,B M HI,B M HI,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-11-06T20:57:40Z</ctx:CreationTime>,Black Mountain Hi Neigh 1,467.3160095200,612.2929687500,594.6060180700,971.9550170900,693.2550048800,775.7130127000,365.8609924300,1187.9399414000,644.7189941400,536.6339721700,365.7380065900,685.7719726600,596.4960327100,529.2860107400,725.5700073200,727.6959838900,1361.1419678000,684.8609619100,1160.6949463000,445.2200012200,1396.8399658000,1601.9599609000,534.6099853500,629.2600097700,719.9099731400,622.3499755900,564.6199951200,459.2999877900,533.5800170900,830.5700073200,819.5700073200,1256.2600098000,552.8599853500,1197.2700195000,833.1199951200,714.4299926800,993.3099975600,303.3399963400,525.0299682600,492.6700134300,390.4800109900,583.7700195300,704.3200073200,757.6300048800,623.8300170900,353.9700012200,648.4700317400,457.2799987800,1044.6400146000
2631.2763670000,2015/10/10,,,PIJE 1.11,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-10T20:53:35Z</ctx:CreationTime>,SherwinLakes Neighborhood 1,470.7059936500,669.5330200200,585.4210205100,706.8189697300,402.6229858400,624.4489746100,385.7669982900,716.8779907200,549.3040161100,520.7689819300,345.9599914600,592.0529785200,418.0840148900,509.8529968300,291.2500000000,488.4039917000,667.7210083000,534.9069824200,649.8820190400,594.7299804700,1172.0799561000,1061.2500000000,488.5899963400,569.9099731400,587.1099853500,408.8399963400,404.8399963400,458.3299865700,351.2500000000,492.4100036600,490.1600036600,471.2099914600,514.8900146500,839.2700195300,1242.1800537000,493.2300109900,735.5900268600,455.8999939000,478.7799987800,724.7800293000,513.0800170900,358.9899902300,635.7199707000,868.8900146500,623.9400024400,374.3299865700,576.0499877900,626.3499755900,859.4899902300
2608.2949220000,2015/10/10,,,PIJE 2.1 SL,,,,,,,,,,"Flag, Blue",user,,,,,,,,<gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>,<wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>,<ctx:CreationTime>2015-10-10T22:36:42Z</ctx:CreationTime>,Sherwin Lakes Neighborhood 2,470.7059936500,669.5330200200,585.4210205100,706.8189697300,402.6229858400,624.4489746100,385.7669982900,716.8779907200,549.3040161100,520.7689819300,345.9599914600,592.0529785200,418.0840148900,509.8529968300,291.2500000000,488.4039917000,667.7210083000,534.9069824200,649.8820190400,594.7299804700,1172.0799561000,1061.2500000000,488.5899963400,569.9099731400,587.1099853500,408.8399963400,404.8399963400,458.3299865700,351.2500000000,492.4100036600,490.1600036600,471.2099914600,514.8900146500,839.2700195300,1242.1800537000,493.2300109900,735.5900268600,455.8999939000,478.7799987800,724.7800293000,513.0800170900,358.9899902300,635.7199707000,868.8900146500,623.9400024400,374.3299865700,576.0499877900,626.3499755900,859.4899902300
