ActualName,ppt201201bi,ppt201202bi,ppt201203bi,ppt201204bi,ppt201205bi,ppt201206bi,ppt201207bi,ppt201208bi,ppt201209bi,ppt201210bi,ppt201211bi,ppt201212bi,ppt201301bi,ppt201302bi,ppt201303bi,ppt201304bi,ppt201305bi,ppt201306bi,ppt201307bi,ppt201308bi,ppt201309bi,ppt201310bi,ppt201311bi,ppt201312bi,ppt201401bi,ppt201402bi,ppt201403bi,ppt201404bi,ppt201405bi,ppt201406bi,ppt201407bi,ppt201408bi,ppt201409bi,ppt201410bi,ppt201411bi,ppt201412bi,ppt201501bi,ppt201502bi,ppt201503bi,ppt201504bi,ppt201505bi,ppt201506bi,ppt201507bi,ppt201508bi,ppt201509bi,ppt201510bi,ppt201511bi,ppt201512bi,tmean201201,tmean201202,tmean201203,tmean201204,tmean201205,tmean201206,tmean201207,tmean201208,tmean201209,tmean201210,tmean201211,tmean201212,tmean201301,tmean201302,tmean201303,tmean201304,tmean201305,tmean201306,tmean201307,tmean201308,tmean201309,tmean201310,tmean201311,tmean201312,tmean201401,tmean201402,tmean201403,tmean201404,tmean201405,tmean201406,tmean201407,tmean201408,tmean201409,tmean201410,tmean201411,tmean201412,tmean201501,tmean201502,tmean201503,tmean201504,tmean201505,tmean201506,tmean201507,tmean201508,tmean201509,tmean201510,tmean201511,tmean201512
Mt Whitney,180.0500031,42.70000076,36.79999924,168.6199951,0.860000014,0.75,2.029999971,5.619999886,0,23.8199997,47.11000061,208.7100067,54.31000137,19.51000023,7.940000057,1.009999991,17.3199997,0.230000004,12.27000046,2.890000105,1.710000038,40.5699997,16.54999924,8.5,29.17000008,65.69000244,115.3399963,72.90000153,20.47999954,0,11.43000031,14.09000015,13.36999989,0,58.58000183,145.0700073,4.320000172,82.22000122,9.920000076,28.07999992,38.56000137,11.57999992,38.22999954,6.480000019,3.109999895,43.56000137,103.6699982,154.5299988,-5.830000401,-9.090000153,-7.739999771,-4.490000248,0.544999838,5.045000076,7.474999905,9.720000267,6.425000191,1.389999867,-4.034999847,-9.48500061,-9.680000305,-10.72000027,-6.235000134,-3.059999943,0.859999895,7.184999943,9.25,7.099999905,3.775000095,-1.515000105,-4.200000286,-5.990000248,-3.34499979,-7.095000267,-5.654999733,-3.305000305,0.534999847,6.180000305,9.494999886,6.855000019,5.670000076,3.005000114,-3.035000324,-8.015000343,-6.085000038,-4.255000114,-4.394999981,-4.269999981,-2.799000025,6.509000301,5.899000168,8.075000763,5.429000378,0.944000065,-7.550000191,-10.48400021
Death Valley,0.050000001,0.75,0.01,5.599999905,0,0,3.019999981,16.54000092,0,13.82999992,0,1.309999943,4.630000114,0,12.31000042,0,0,0,19.04000092,2.74000001,5.380000114,0.01,10.22000027,0,0,0,8.539999962,2.690000057,0.449999988,0,2.170000076,6.179999828,15.14999962,0,0.01,14.27000046,10.85000038,6.340000153,4.03000021,0.01,2.349999905,0,7.320000172,0.01,0,31.92000008,0,0.589999974,12.625,16.62000084,19.68000031,25.72999954,32.02999878,36.8199997,38.77000046,39.76499939,35.34000015,26.3199997,18.39500046,13.42499924,11.46500015,15.75499916,22.59000015,26.91500092,31.09000015,38.13999939,40.28499985,36.93000031,32.52999878,23.45999908,16.30500031,10.95999908,14.23999977,17.20000076,21.85499954,26.51000023,30.69000053,36.43000031,39.57999802,36.63500214,34.38999939,27.52499962,17.89500046,13.52000046,13.69999981,19.26000023,23.46999931,25.3199997,29.02000046,37.4940033,36.80900192,38.78900147,33.98000336,26.354002,15.4640007,9.840000153
Pine Ridge Neigh 3,187.8600006,49.84000015,157.5399933,178.5399933,3.509999991,3.309999943,0.129999995,2.430000067,0,25.34000015,85.23999786,289.7900085,59.47999954,26.86000061,31.25,28.3199997,33.43999863,0.25,9.43999958,4.940000057,6.079999924,31.61000061,14.63000011,30.57999992,32.88999939,112.1800003,125.9899979,111.7300034,30.53000069,0,7.360000134,6.559999943,20.79999924,0,66.97000122,170.3000031,5.820000172,133.9900055,12.64999962,43.81000137,36.22000122,20.85000038,62.56000137,0.039999999,3.039999962,45.52000046,107.5899963,162.7799988,2.795000076,-0.059999943,1.074999809,4.019999981,9.324999809,12.38499928,16.60000038,19.46500015,16.48999977,9.904999733,5.410000324,-0.849999905,-2.534999847,-1.400000095,3.735000134,5.25,8.414999962,13.92000008,18.68999863,16.375,13.60499954,7.590000153,5.340000153,2.335000038,4.289999962,1.61500001,3.330000401,4.764999867,8.425000191,14.26499939,18.375,16.51000023,14.86499977,12.13000011,5.420000076,1.219999909,2.65500021,4.75,5.34499979,4.355000019,5.784000397,14.34500027,15.43400097,17.32500076,15.05500031,10.05900002,1.54400003,-1.170000076
Inyo Craters Neigh 1,94.91999817,17.07999992,74.59999847,25.09000015,0,5.070000172,2.710000038,16.59000015,0,24.70999908,50.95999908,170.6699982,23.12000084,9.010000229,16.70000076,19.12000084,6.260000229,1.409999967,9.670000076,13.71000004,8.470000267,20.82999992,9.029999733,24.07999992,27.90999985,56.66999817,45.18000031,9.869999886,13,1.789999962,20.10000038,25.67000008,6.699999809,0,20.68000031,48.75999832,3.549999952,63.59999847,10.18000031,31.40999985,57.22000122,18.51000023,36.36000061,7.360000134,13.5,36,99.95999908,180.6699982,1.079999924,-0.910000324,1.389999867,4.06499958,9.005000114,13.30500031,15.23500061,16.39999962,13.15500069,8.369999886,3.279999733,-2.7900002,-4.034999847,-1.675000191,3.820000172,5.075000286,8.204999924,13.98999977,16.57500076,14.44000053,12.2300005,5.565000057,3.09499979,-0.449999809,2.184999943,1.064999819,1.84499979,4.389999867,8.010000229,14.1449995,17.42000008,14.18000031,12.5,9.840000153,4.329999924,-0.24000001,1.739999771,3.549999952,4.180000305,3.649999857,6.65500021,14.4800005,14.42000103,16.19900131,13.42500019,8.320000649,-0.644000053,-2.610000134
Inyo Crater Neigh 3,94.91999817,17.07999992,74.59999847,25.09000015,0,5.070000172,2.710000038,16.59000015,0,24.70999908,50.95999908,170.6699982,23.12000084,9.010000229,16.70000076,19.12000084,6.260000229,1.409999967,9.670000076,13.71000004,8.470000267,20.82999992,9.029999733,24.07999992,27.90999985,56.66999817,45.18000031,9.869999886,13,1.789999962,20.10000038,25.67000008,6.699999809,0,20.68000031,48.75999832,3.549999952,63.59999847,10.18000031,31.40999985,57.22000122,18.51000023,36.36000061,7.360000134,13.5,36,99.95999908,180.6699982,1.079999924,-0.910000324,1.389999867,4.06499958,9.005000114,13.30500031,15.23500061,16.39999962,13.15500069,8.369999886,3.279999733,-2.7900002,-4.034999847,-1.675000191,3.820000172,5.075000286,8.204999924,13.98999977,16.57500076,14.44000053,12.2300005,5.565000057,3.09499979,-0.449999809,2.184999943,1.064999819,1.84499979,4.389999867,8.010000229,14.1449995,17.42000008,14.18000031,12.5,9.840000153,4.329999924,-0.24000001,1.739999771,3.549999952,4.180000305,3.649999857,6.65500021,14.4800005,14.42000103,16.19900131,13.42500019,8.320000649,-0.644000053,-2.610000134
White Mountain 3800m,114.1900024,7.03000021,30.60000038,36.95999908,4.659999847,1.759999991,39.09999847,50.49000168,10.85000038,27.18000031,9.069999695,147.3300018,10.63000011,6.429999828,3.99000001,24.53000069,24.0699997,2.039999962,20.23999977,6.869999886,27.40999985,19.63999939,8.840000153,10.43000031,38.34000015,62.38999939,61.15000153,27.89999962,34.38000107,8.380000114,42.52000046,39.38999939,36.77000046,0,5.650000095,31.04999924,4.539999962,38.25999832,6.300000191,18.22999954,55.88000107,24.57999992,36.27999878,32.38000107,9.880000114,34.77999878,22.36000061,68.95999908,-3.960000038,-7.164999962,-6.894999981,-4.009999752,1.184999943,7.765000343,10.51499939,11.81499958,7.320000172,1.515000105,-2.829999924,-8.625,-8.539999962,-8.770000458,-4.704999924,-2.925000191,0.170000076,9.024999619,12.03999996,9.590000153,5.545000076,-0.995000124,-2.945000172,-6.025000095,-3.054999828,-6.400000095,-5.635000229,-3.430000067,0.194999933,8.694999695,11.86499977,9.114999771,6.675000191,3.144999981,-1.780000091,-6.599999905,-3.980000019,-2.934999943,-3.419999838,-4.360000134,-1.805000067,9.400000572,9.065000534,10.80900097,7.039000511,1.849000096,-5.734000206,-8.680000305
White Mountain Chris Cobb Hi,114.1900024,7.03000021,30.60000038,36.95999908,4.659999847,1.759999991,39.09999847,50.49000168,10.85000038,27.18000031,9.069999695,147.3300018,10.63000011,6.429999828,3.99000001,24.53000069,24.0699997,2.039999962,20.23999977,6.869999886,27.40999985,19.63999939,8.840000153,10.43000031,38.34000015,62.38999939,61.15000153,27.89999962,34.38000107,8.380000114,42.52000046,39.38999939,36.77000046,0,5.650000095,31.04999924,4.539999962,38.25999832,6.300000191,18.22999954,55.88000107,24.57999992,36.27999878,32.38000107,9.880000114,34.77999878,22.36000061,68.95999908,-3.960000038,-7.164999962,-6.894999981,-4.009999752,1.184999943,7.765000343,10.51499939,11.81499958,7.320000172,1.515000105,-2.829999924,-8.625,-8.539999962,-8.770000458,-4.704999924,-2.925000191,0.170000076,9.024999619,12.03999996,9.590000153,5.545000076,-0.995000124,-2.945000172,-6.025000095,-3.054999828,-6.400000095,-5.635000229,-3.430000067,0.194999933,8.694999695,11.86499977,9.114999771,6.675000191,3.144999981,-1.780000091,-6.599999905,-3.980000019,-2.934999943,-3.419999838,-4.360000134,-1.805000067,9.400000572,9.065000534,10.80900097,7.039000511,1.849000096,-5.734000206,-8.680000305
Black Mountain Hi Neigh 1,40.72000122,53.61999893,100.4800034,92.12000275,0,0,5.599999905,58.66999817,19.70999908,6.070000172,43.34000015,119.7099991,69.36000061,52.43999863,58.81000137,6.760000229,18.52000046,0,15.30000019,11.75,59.70999908,54.68000031,28.26000023,33.27999878,6.989999771,27.65999985,107.3600006,38.77000046,11.39000034,0,15.25,48.97999954,19.52000046,0,37.40000153,122.3000031,16.54999924,51.27999878,26.23999977,37.38000107,67.48999786,2.170000076,76.27999878,0,44.79000092,42.95000076,39.40999985,70.29000092,7.389999867,3.46999979,4.865000248,9.715000153,13.1949997,16.99500084,20.83499908,21.51000023,19.14500046,13.55499935,8.125,3.61500001,3.245000124,3.139999867,8.449999809,10.17500019,13.77500057,18.08499908,22.38999939,20.20999908,17.75,11.30999947,7.46999979,5.375,8.829999924,6.949999809,8.25,10.36000061,13.96000004,18.61000061,21.57999992,19.79500008,18.80500031,15.34499931,8.604999542,4.399999619,6.289999962,8.854999542,9.395000458,9.380000114,9.605000496,18,18.10500145,20.50500107,18.40500069,14.37500095,5.68500042,2.865000248
SherwinLakes Neighborhood 1,101.6600037,19.63999939,94.40000153,30.44000053,0,10.38000011,4.019999981,20.63999939,0,26.45000076,55.00999832,182.2100067,25.18000031,9.460000038,23.63999939,19.27000046,8.159999847,3.059999943,8.090000153,17.10000038,12.71000004,21.10000038,8.050000191,26.36000061,28.8199997,65.37999725,56.61000061,11.18000031,20.44000053,1.169999957,29.82999992,33.43999863,3.859999895,0,19.53000069,57.45000076,3.720000029,69.20999908,10.02000046,30.45000076,49.11000061,12.90999985,44.93000031,4.210000038,13.06000042,36.61999893,106.0299988,165.2700043,1.0400002,-1.345000267,1.169999838,4.359999657,8.574999809,13.30000019,15.15499973,16.25499916,13.10499954,8.215000153,2.779999733,-2.830000162,-3.825000048,-2.5,3.380000114,5.289999962,8.460000038,14.13500023,16.86999893,14.65500069,12.21000004,5.534999847,2.860000134,-1.019999981,1.99000001,0.930000067,1.710000038,4.565000057,8.289999962,13.80000019,17.20999908,14.02500057,12.52500057,9.715000153,4.164999962,-0.24000001,1.919999838,3.635000229,4.269999981,3.909999847,6.684000492,15.01000118,14.71900082,16.73500061,13.71500111,8.440000534,-0.720000029,-2.519000053
Sherwin Lakes Neighborhood 2,101.6600037,19.63999939,94.40000153,30.44000053,0,10.38000011,4.019999981,20.63999939,0,26.45000076,55.00999832,182.2100067,25.18000031,9.460000038,23.63999939,19.27000046,8.159999847,3.059999943,8.090000153,17.10000038,12.71000004,21.10000038,8.050000191,26.36000061,28.8199997,65.37999725,56.61000061,11.18000031,20.44000053,1.169999957,29.82999992,33.43999863,3.859999895,0,19.53000069,57.45000076,3.720000029,69.20999908,10.02000046,30.45000076,49.11000061,12.90999985,44.93000031,4.210000038,13.06000042,36.61999893,106.0299988,165.2700043,1.0400002,-1.345000267,1.169999838,4.359999657,8.574999809,13.30000019,15.15499973,16.25499916,13.10499954,8.215000153,2.779999733,-2.830000162,-3.825000048,-2.5,3.380000114,5.289999962,8.460000038,14.13500023,16.86999893,14.65500069,12.21000004,5.534999847,2.860000134,-1.019999981,1.99000001,0.930000067,1.710000038,4.565000057,8.289999962,13.80000019,17.20999908,14.02500057,12.52500057,9.715000153,4.164999962,-0.24000001,1.919999838,3.635000229,4.269999981,3.909999847,6.684000492,15.01000118,14.71900082,16.73500061,13.71500111,8.440000534,-0.720000029,-2.519000053
